TIME_STAMP,MODE,LATITUDE,LONGITUDE,DIRECTION,T_LATITUDE,T_LONGITUDE,SERVO_PW,THRUSTER_PW,T_DIRECTION,T_DISTANCE
,RC,0.0,0.0,0.0,35.444509,136.072338,1490.5134836832683,0.0,0.0,0.0
,RC,0.0,0.0,0.0,35.444509,136.072338,1467.2619955880302,0.0,0.0,0.0
,RC,0.0,0.0,0.0,35.444509,136.072338,1492.9430825369698,0.0,0.0,0.0
,RC,0.0,0.0,0.0,35.444509,136.072338,1495.974404471261,0.0,0.0,0.0
,RC,0.0,0.0,0.0,35.444509,136.072338,1486.131123134068,0.0,0.0,0.0
 7:49:29.0,RC,35.455645,136.06133833333334,44.25684110835749,35.444509,136.072338,1485.6883457728795,0.0,0.0,0.0
 7:49:29.0,RC,35.455645,136.06133833333334,44.25684110835749,35.444509,136.072338,1496.5874808175224,0.0,0.0,0.0
 7:49:30.0,RC,35.455645,136.06133833333334,44.25684110835749,35.444509,136.072338,1494.8447545369465,0.0,0.0,0.0
 7:49:30.0,RC,35.455645,136.06133833333334,44.25684110835749,35.444509,136.072338,1497.9158129010882,0.0,0.0,0.0
 7:49:31.0,RC,35.455645,136.06133833333334,44.25684110835749,35.444509,136.072338,1497.9839324951172,0.0,0.0,0.0
 7:49:31.0,RC,35.455645,136.06133833333334,44.25684110835749,35.444509,136.072338,1489.877700805664,0.0,0.0,0.0
 7:49:31.0,RC,35.455645,136.06133833333334,44.25684110835749,35.444509,136.072338,1501.526151384626,0.0,0.0,0.0
 7:49:32.0,RC,35.455645,136.06133833333334,44.25684110835749,35.444509,136.072338,1505.0343104771205,0.0,0.0,0.0
 7:49:32.0,RC,35.455645,136.06133833333334,44.25684110835749,35.444509,136.072338,1545.1226915631976,0.0,0.0,0.0
 7:49:32.0,RC,35.455645,136.06133833333334,44.25684110835749,35.444509,136.072338,1497.6773943219866,0.0,0.0,0.0
